# Participant: P5_HONEYWELL_deep_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204929
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
651004133,643004133,22.449,-18.945,-18.688,-282388,-564767,37529,284.1,1862.3
651005010,643005010,22.468,-18.902,-18.43,-282346,-564585,38601,284.1,1862.3
651006031,643006031,22.126,-18.821,-18.506,-283091,-564244,38284,284.1,1862.3
651007063,643007063,22.311,-18.816,-18.539,-282689,-564224,38150,284.1,1862.3
651008139,643008139,22.311,-18.816,-18.539,-282689,-564224,38150,284.1,1862.3
651009204,643009204,22.268,-18.803,-18.583,-282772,-564170,38000,284.1,1862.3
651010225,643010225,22.449,-18.78,-18.585,-282379,-564073,37991,284.1,1862.3
651011246,643011246,22.507,-18.663,-18.519,-282252,-563577,38265,284.1,1862.3
651012267,643012267,22.521,-18.825,-18.721,-282222,-564259,37425,284.1,1862.3
651013287,643013287,22.495,-18.912,-18.789,-282278,-564628,37140,284.1,1862.3
651014308,643014308,22.584,-18.997,-18.948,-282084,-564987,36478,284.1,1862.3
651015329,643015329,22.474,-18.928,-19.012,-282325,-564693,36214,284.1,1862.3
651016350,643016350,22.573,-18.848,-18.871,-282109,-564359,36798,284.1,1862.3
651017371,643017371,22.64,-18.863,-19.078,-281964,-564419,35936,284.1,1862.3
651018392,643018392,22.616,-18.837,-18.949,-282016,-564313,36474,284.1,1862.3
651019413,643019413,22.647,-18.917,-18.958,-281948,-564647,36437,284.1,1862.3
651020434,643020434,22.505,-18.993,-19.143,-282256,-564968,35669,284.1,1862.3
651021455,643021455,22.641,-18.745,-19.007,-281961,-563923,36235,284.1,1862.3
651022476,643022476,22.65,-18.108,-19.023,-281941,-561237,36167,284.1,1862.3
651023496,643023496,22.568,-18.598,-19.252,-282119,-563304,35212,284.1,1862.3
651024517,643024517,22.827,-19.331,-19.097,-281556,-566394,35860,284.1,1862.3
651025538,643025538,22.583,-19.588,-19.154,-282087,-567476,35621,284.1,1862.3
651026559,643026559,22.387,-19.014,-18.811,-282514,-565056,37049,284.1,1862.3
651027580,643027580,22.245,-18.548,-18.788,-282822,-563094,37144,284.1,1862.3
651028601,643028601,22.115,-18.695,-18.804,-283106,-563712,37079,284.1,1862.3
651029622,643029622,22.349,-19.213,-19.015,-282596,-565896,36200,284.1,1862.3
651030643,643030643,22.49,-19.669,-19.156,-282290,-567819,35613,284.1,1862.3
651031664,643031664,22.139,-19.51,-19.074,-283053,-567147,35956,284.1,1862.3
651032686,643032686,22.456,-19.329,-19.088,-282363,-566387,35897,284.1,1862.3
651033707,643033707,22.257,-19.217,-19.067,-282796,-565914,35982,284.1,1862.3
651034729,643034729,22.319,-19.152,-19.024,-282662,-565638,36162,284.1,1862.3
651035751,643035751,22.373,-18.938,-18.963,-282544,-564739,36415,284.1,1862.3
651036773,643036773,22.302,-18.834,-19.09,-282699,-564297,35888,284.1,1862.3
651037794,643037794,22.655,-18.628,-18.977,-281931,-563432,36359,284.1,1862.3
651038816,643038816,22.547,-18.613,-19.166,-282165,-563368,35572,284.1,1862.3
651039838,643039838,22.64,-18.506,-19.213,-281963,-562918,35374,284.1,1862.3
651040860,643040860,22.759,-18.774,-19.492,-281704,-564047,34215,284.1,1862.3
651041882,643041882,22.535,-18.702,-19.495,-282191,-563744,34200,284.1,1862.3
651042903,643042903,22.923,-18.855,-19.603,-281347,-564388,33751,284.1,1862.3
651043925,643043925,22.7,-18.544,-19.5,-281833,-563075,34181,284.1,1862.3
651044947,643044947,23.009,-18.636,-19.426,-281159,-563465,34488,284.1,1862.3
651045969,643045969,23.035,-18.735,-19.519,-281103,-563883,34100,284.1,1862.3
651046991,643046991,23.05,-18.673,-19.67,-281070,-563621,33474,284.1,1862.3
651048012,643048012,23.15,-18.77,-19.741,-280854,-564029,33177,284.1,1862.3
651049034,643049034,23.127,-18.646,-19.694,-280903,-563505,33374,284.1,1862.3
651050056,643050056,23.109,-18.56,-19.677,-280943,-563144,33445,284.1,1862.3
651051078,643051078,23.024,-18.653,-19.691,-281128,-563534,33384,284.1,1862.3
651052099,643052099,22.894,-18.53,-19.654,-281410,-563016,33540,284.1,1862.3
651053121,643053121,23.114,-18.477,-19.629,-280931,-562793,33644,284.1,1862.3
651054143,643054143,23.104,-18.369,-19.603,-280954,-562340,33751,284.1,1862.3
651055165,643055165,23.349,-18.358,-19.63,-280421,-562294,33641,284.1,1862.3
651056187,643056187,23.375,-18.508,-19.738,-280363,-562923,33188,284.1,1862.3
651057208,643057208,23.288,-18.572,-19.812,-280553,-563196,32881,284.1,1862.3
651058230,643058230,23.471,-18.625,-19.814,-280154,-563416,32874,284.1,1862.3
651059252,643059252,23.13,-18.658,-19.779,-280897,-563556,33017,284.1,1862.3
651060274,643060274,23.332,-18.721,-19.836,-280456,-563823,32779,284.1,1862.3
651061295,643061295,23.408,-18.742,-19.949,-280292,-563913,32309,284.1,1862.3
651062317,643062317,23.287,-18.776,-19.781,-280556,-564054,33012,284.1,1862.3
651063339,643063339,23.556,-18.912,-19.859,-279970,-564629,32684,284.1,1862.3
651064361,643064361,23.433,-18.809,-19.76,-280238,-564193,33099,284.1,1862.3
651065383,643065383,23.496,-18.882,-19.823,-280100,-564502,32834,284.1,1862.3
651066404,643066404,23.496,-18.965,-19.896,-280101,-564853,32533,284.1,1862.3
651067426,643067426,23.315,-18.781,-19.871,-280493,-564076,32634,284.1,1862.3
651068448,643068448,23.518,-18.905,-20.134,-280052,-564599,31541,284.1,1862.3
651069470,643069470,23.317,-18.631,-19.828,-280489,-563443,32815,284.1,1862.3
651070491,643070491,23.227,-18.581,-19.938,-280686,-563232,32358,284.1,1862.3
651071513,643071513,23.413,-18.591,-19.912,-280280,-563273,32465,284.1,1862.3
651072535,643072535,23.307,-18.289,-19.763,-280511,-562001,33084,284.1,1862.3
651073557,643073557,23.394,-18.624,-20.006,-280323,-563412,32071,284.1,1862.3
651074578,643074578,23.351,-18.457,-19.756,-280416,-562708,33114,284.1,1862.3
651075600,643075600,23.404,-18.841,-20.055,-280301,-564330,31869,284.1,1862.3
651076622,643076622,23.406,-18.898,-20.094,-280295,-564569,31705,284.1,1862.3
651077644,643077644,23.582,-19.004,-19.936,-279913,-565017,32366,284.1,1862.3
651078666,643078666,23.669,-19.337,-19.535,-279724,-566417,34035,284.1,1862.3
651079687,643079687,23.806,-19.133,-19.812,-279425,-565559,32880,284.1,1862.3
651080709,643080709,23.913,-19.819,-19.963,-279192,-568451,32250,284.1,1862.3
651081731,643081731,23.87,-19.667,-20.045,-279285,-567811,31911,284.1,1862.3
651082753,643082753,23.699,-19.431,-19.655,-279659,-566817,33536,284.1,1862.3
651083775,643083775,23.83,-19.485,-19.869,-279372,-567043,32643,284.1,1862.3
651084796,643084796,23.593,-19.061,-19.533,-279888,-565255,34043,284.1,1862.3
651085818,643085818,23.79,-19.277,-19.989,-279460,-566165,32143,284.1,1862.3
651086840,643086840,23.621,-19.26,-20.053,-279829,-566095,31878,284.1,1862.3
651087862,643087862,23.845,-19.221,-19.764,-279341,-565931,33080,284.1,1862.3
651088883,643088883,23.811,-19.462,-19.656,-279414,-566946,33532,284.1,1862.3
651089905,643089905,23.782,-19.488,-18.685,-279477,-567057,37575,284.1,1862.3
651090927,643090927,23.682,-19.982,-18.543,-279696,-569136,38166,284.1,1862.3
651091949,643091949,23.709,-20.264,-18.064,-279637,-570326,40159,284.1,1862.3
651092971,643092971,23.719,-20.508,-17.825,-279614,-571354,41154,284.1,1862.3
651093992,643093992,23.889,-20.424,-17.888,-279245,-570999,40893,284.1,1862.3
651095014,643095014,23.744,-20.043,-17.987,-279561,-569395,40482,284.1,1862.3
651096036,643096036,24.023,-19.662,-18.383,-278954,-567790,38833,284.1,1862.3
651097058,643097058,23.957,-19.353,-18.53,-279097,-566486,38219,284.1,1862.3
651098079,643098079,24.115,-19.086,-18.924,-278752,-565361,36577,284.1,1862.3
651099101,643099101,24.185,-18.949,-19.366,-278601,-564784,34739,284.1,1862.3
651100123,643100123,23.91,-18.777,-19.649,-279198,-564058,33561,284.1,1862.3
651101145,643101145,24.218,-18.777,-20.054,-278528,-564059,31873,284.1,1862.3
651102167,643102167,24.13,-18.8,-20.238,-278720,-564157,31105,284.1,1862.3
651103188,643103188,24.281,-18.671,-20.266,-278391,-563611,30989,284.1,1862.3
651104210,643104210,24.118,-19.051,-20.289,-278747,-565215,30893,284.1,1862.3
651105232,643105232,24.166,-19.008,-20.262,-278641,-565034,31006,284.1,1862.3
651106254,643106254,24.361,-19.285,-20.304,-278218,-566201,30833,284.1,1862.3
651107276,643107276,24.259,-19.172,-19.919,-278440,-565724,32435,284.1,1862.3
651108297,643108297,24.419,-19.329,-19.964,-278090,-566384,32249,284.1,1862.3
651109319,643109319,24.337,-19.418,-19.946,-278269,-566762,32321,284.1,1862.3
651110341,643110341,24.242,-19.523,-19.929,-278476,-567201,32392,284.1,1862.3
651111374,643111374,24.393,-19.688,-19.993,-278147,-567900,32128,284.1,1862.3
651112450,643112450,24.393,-19.688,-19.993,-278147,-567900,32128,284.1,1862.3
651113514,643113514,24.458,-19.484,-19.737,-278007,-567039,33194,284.1,1862.3
651114535,643114535,24.36,-19.491,-19.92,-278220,-567069,32432,284.1,1862.3
651115556,643115556,24.242,-19.33,-19.934,-278477,-566390,32371,284.1,1862.3
651116577,643116577,24.616,-19.374,-20.053,-277663,-566575,31876,284.1,1862.3
651117598,643117598,24.379,-19.337,-20.207,-278178,-566420,31237,284.1,1862.3
651118619,643118619,24.588,-19.442,-20.25,-277723,-566861,31058,284.1,1862.3
651119640,643119640,24.46,-19.296,-20.294,-278002,-566248,30874,284.1,1862.3
651120661,643120661,24.402,-19.308,-20.278,-278127,-566296,30941,284.1,1862.3
651121682,643121682,24.472,-19.383,-20.368,-277976,-566613,30566,284.1,1862.3
651122703,643122703,24.424,-19.234,-20.28,-278079,-565986,30932,284.1,1862.3
651123724,643123724,24.568,-19.3,-20.229,-277767,-566265,31144,284.1,1862.3
651124745,643124745,24.644,-19.307,-20.186,-277601,-566292,31322,284.1,1862.3
651125765,643125765,24.71,-19.369,-20.309,-277458,-566555,30811,284.1,1862.3
651126786,643126786,24.736,-19.47,-20.357,-277400,-566981,30613,284.1,1862.3
651127807,643127807,24.843,-19.59,-20.441,-277169,-567485,30261,284.1,1862.3
651128828,643128828,24.689,-19.596,-20.47,-277503,-567509,30140,284.1,1862.3
651129849,643129849,24.786,-19.62,-20.315,-277293,-567612,30785,284.1,1862.3
651130870,643130870,24.719,-19.552,-20.334,-277439,-567326,30709,284.1,1862.3
651131891,643131891,24.811,-19.463,-20.288,-277238,-566952,30900,284.1,1862.3
651132912,643132912,24.848,-19.573,-20.433,-277158,-567412,30295,284.1,1862.3
651133933,643133933,24.88,-19.565,-20.358,-277088,-567382,30607,284.1,1862.3
651134954,643134954,25.004,-19.636,-20.523,-276817,-567680,29918,284.1,1862.3
651135975,643135975,24.935,-19.626,-20.582,-276968,-567639,29673,284.1,1862.3
651136996,643136996,25.044,-19.612,-20.546,-276730,-567580,29826,284.1,1862.3
651138016,643138016,24.856,-19.654,-20.731,-277140,-567754,29055,284.1,1862.3
651139038,643139038,25.025,-19.529,-20.656,-276771,-567230,29367,284.1,1862.3
651140059,643140059,25.352,-19.441,-21.101,-276061,-566859,27512,284.1,1862.3
651141081,643141081,25.679,-19.703,-21.051,-275349,-567962,27721,284.1,1862.3
651142103,643142103,25.798,-19.566,-20.965,-275089,-567384,28080,284.1,1862.3
651143125,643143125,25.786,-19.424,-20.687,-275115,-566786,29235,284.1,1862.3
651144147,643144147,25.806,-19.806,-20.424,-275073,-568394,30331,284.1,1862.3
651145168,643145168,25.181,-19.69,-20.179,-276432,-567908,31351,284.1,1862.3
651146190,643146190,25.056,-19.723,-20.669,-276705,-568044,29311,284.1,1862.3
651147212,643147212,25.063,-19.71,-20.818,-276690,-567991,28690,284.1,1862.3
651148234,643148234,25.304,-20.107,-21.106,-276165,-569664,27492,284.1,1862.3
651149255,643149255,25.327,-20.579,-21.564,-276114,-571654,25584,284.1,1862.3
651150277,643150277,25.546,-20.438,-21.869,-275637,-571059,24315,284.1,1862.3
651151299,643151299,25.51,-20.616,-21.931,-275716,-571812,24058,284.1,1862.3
651152321,643152321,25.496,-20.507,-21.707,-275747,-571349,24987,284.1,1862.3
651153343,643153343,25.568,-20.696,-21.794,-275591,-572148,24628,284.1,1862.3
651154364,643154364,25.702,-20.466,-21.654,-275299,-571180,25210,284.1,1862.3
651155386,643155386,25.659,-20.461,-21.545,-275391,-571155,25662,284.1,1862.3
651156408,643156408,25.864,-20.352,-21.404,-274946,-570699,26251,284.1,1862.3
651157430,643157430,25.884,-20.099,-20.973,-274902,-569633,28047,284.1,1862.3
651158451,643158451,26.145,-19.983,-20.925,-274335,-569140,28247,284.1,1862.3
651159473,643159473,25.981,-19.725,-20.639,-274692,-568056,29437,284.1,1862.3
651160495,643160495,26.144,-19.594,-20.502,-274337,-567502,30007,284.1,1862.3
651161517,643161517,26.291,-19.333,-20.367,-274017,-566403,30571,284.1,1862.3
651162539,643162539,26.141,-19.177,-20.413,-274342,-565745,30380,284.1,1862.3
651163560,643163560,26.31,-19.029,-20.314,-273976,-565120,30790,284.1,1862.3
651164582,643164582,26.208,-18.817,-20.227,-274196,-564225,31153,284.1,1862.3
651165604,643165604,26.336,-18.642,-20.261,-273918,-563489,31012,284.1,1862.3
651166626,643166626,26.34,-18.434,-20.225,-273910,-562612,31163,284.1,1862.3
651167647,643167647,26.297,-18.244,-20.174,-274003,-561811,31373,284.1,1862.3
651168669,643168669,26.462,-18.275,-20.178,-273644,-561941,31358,284.1,1862.3
651169691,643169691,26.668,-18.208,-20.231,-273195,-561658,31135,284.1,1862.3
651170713,643170713,26.569,-18.251,-20.034,-273411,-561843,31955,284.1,1862.3
651171735,643171735,26.623,-18.303,-20.056,-273294,-562062,31866,284.1,1862.3
651172756,643172756,26.689,-18.193,-19.906,-273151,-561595,32489,284.1,1862.3
651173778,643173778,26.688,-18.209,-19.836,-273152,-561663,32779,284.1,1862.3
651174800,643174800,26.817,-17.902,-19.504,-272871,-560370,34163,284.1,1862.3
651175822,643175822,26.731,-17.845,-19.378,-273059,-560130,34688,284.1,1862.3
651176843,643176843,26.841,-17.758,-19.03,-272820,-559765,36139,284.1,1862.3
651177865,643177865,26.751,-17.643,-18.812,-273015,-559280,37045,284.1,1862.3
651178887,643178887,26.863,-17.537,-18.755,-272772,-558831,37283,284.1,1862.3
651179909,643179909,26.891,-17.448,-18.63,-272711,-558455,37803,284.1,1862.3
651180931,643180931,26.997,-17.657,-18.731,-272480,-559339,37384,284.1,1862.3
651181952,643181952,26.864,-17.591,-18.735,-272770,-559060,37366,284.1,1862.3
651182974,643182974,26.9,-17.706,-18.754,-272690,-559543,37288,284.1,1862.3
651183996,643183996,26.952,-17.785,-18.821,-272578,-559876,37007,284.1,1862.3
651185018,643185018,27.128,-18.205,-19.066,-272195,-561649,35987,284.1,1862.3
651186040,643186040,27.01,-18.087,-19.25,-272451,-561151,35220,284.1,1862.3
651187061,643187061,27.161,-18.242,-19.347,-272123,-561803,34819,284.1,1862.3
651188083,643188083,27.127,-18.127,-19.401,-272196,-561319,34594,284.1,1862.3
651189105,643189105,27.167,-18.051,-19.268,-272110,-561000,35148,284.1,1862.3
651190127,643190127,26.918,-17.951,-19.175,-272651,-560578,35533,284.1,1862.3
651191148,643191148,26.819,-17.914,-18.963,-272868,-560420,36415,284.1,1862.3
651192170,643192170,26.783,-17.783,-18.771,-272946,-559867,37215,284.1,1862.3
651193192,643193192,26.812,-17.809,-18.715,-272882,-559976,37450,284.1,1862.3
651194214,643194214,26.788,-17.634,-18.582,-272934,-559239,38005,284.1,1862.3
651195236,643195236,27.038,-17.522,-18.45,-272390,-558770,38552,284.1,1862.3
651196257,643196257,26.949,-17.566,-18.562,-272584,-558953,38088,284.1,1862.3
651197279,643197279,27.114,-17.418,-18.419,-272226,-558330,38682,284.1,1862.3
651198301,643198301,27.03,-17.348,-18.572,-272409,-558035,38043,284.1,1862.3
651199323,643199323,26.974,-17.532,-18.629,-272530,-558809,37807,284.1,1862.3
651200345,643200345,26.967,-17.764,-18.779,-272544,-559787,37183,284.1,1862.3
651201366,643201366,26.976,-18.074,-19.149,-272526,-561097,35643,284.1,1862.3
651202388,643202388,26.918,-18.368,-19.34,-272652,-562335,34846,284.1,1862.3
651203410,643203410,26.94,-18.645,-19.586,-272603,-563503,33824,284.1,1862.3
651204432,643204432,26.866,-18.918,-19.687,-272764,-564652,33400,284.1,1862.3
651205453,643205453,26.935,-19.348,-19.99,-272615,-566466,32141,284.1,1862.3
651206475,643206475,26.939,-19.694,-20.158,-272607,-567925,31440,284.1,1862.3
651207497,643207497,26.812,-20.167,-20.506,-272883,-569919,29991,79.3,1707.2
651208519,643208519,26.887,-20.673,-20.888,-272719,-572052,28398,79.3,1707.2
651209541,643209541,26.913,-21.047,-21.295,-272663,-573629,26705,79.3,1707.2
651210562,643210562,26.777,-21.42,-21.543,-272959,-575200,25670,79.3,1707.2
651211584,643211584,26.805,-22.018,-21.94,-272897,-577720,24017,79.3,1707.2
651212606,643212606,26.887,-22.177,-22.121,-272719,-578388,23263,79.3,1707.2
651213628,643213628,26.825,-22.382,-22.319,-272853,-579256,22440,79.3,1707.2
651214650,643214650,26.825,-22.666,-22.569,-272855,-580453,21400,79.3,1707.2
651215683,643215683,26.793,-22.992,-22.515,-272924,-581827,21624,79.3,1707.2
651216760,643216760,26.793,-22.992,-22.515,-272924,-581827,21624,79.3,1707.2
651217825,643217825,26.605,-23.951,-22.963,-273332,-585868,19759,79.3,1707.2
651218846,643218846,26.723,-24.567,-23.351,-273077,-588464,18141,79.3,1707.2
651219867,643219867,26.72,-25.367,-23.855,-273082,-591835,16043,79.3,1707.2
651220888,643220888,26.791,-26.086,-24.518,-272927,-594866,13282,79.3,1707.2
651221909,643221909,26.676,-26.452,-25.239,-273179,-596411,10277,79.3,1707.2
651222930,643222930,26.671,-26.596,-25.53,-273189,-597016,9069,79.3,1707.2
651223950,643223950,26.596,-26.788,-26.085,-273352,-597826,6754,79.3,1707.2
651224971,643224971,26.564,-26.902,-26.491,-273422,-598308,5066,79.3,1707.2
651225992,643225992,26.734,-27.04,-26.699,-273052,-598886,4200,79.3,1707.2
651227013,643227013,26.58,-27.101,-26.967,-273387,-599147,3080,79.3,1707.2
651228034,643228034,26.65,-27.042,-27.062,-273235,-598897,2687,79.3,1707.2
651229055,643229055,26.707,-26.912,-26.942,-273111,-598347,3185,79.3,1707.2
651230076,643230076,26.74,-27.003,-27.005,-273039,-598731,2923,79.3,1707.2
651231097,643231097,26.793,-26.901,-26.985,-272924,-598304,3008,79.3,1707.2
651232118,643232118,26.794,-26.855,-26.946,-272921,-598107,3170,79.3,1707.2
651233139,643233139,26.806,-26.726,-26.704,-272896,-597566,4178,79.3,1707.2
651234160,643234160,26.858,-26.556,-26.565,-272782,-596848,4758,79.3,1707.2
651235181,643235181,26.85,-26.547,-26.523,-272799,-596811,4931,79.3,1707.2
651236201,643236201,26.797,-26.454,-26.556,-272916,-596418,4793,79.3,1707.2
651237222,643237222,26.97,-26.477,-26.499,-272539,-596515,5032,79.3,1707.2
